0,5.000000000E-02,3.616232056E-02,-2.995732274E+00,-3.319737571E+00,0.000000000E+00
1,2.500000000E-02,1.564076103E-02,-3.688879454E+00,-4.157874886E+00,-1.209176548E+00
2,1.250000000E-02,8.103680139E-03,-4.382026635E+00,-4.815436982E+00,-9.486615760E-01
3,6.250000000E-03,4.853408862E-03,-5.075173815E+00,-5.328073963E+00,-7.395788294E-01
4,3.125000000E-03,2.104309478E-03,-5.768320996E+00,-6.163767905E+00,-1.205651505E+00
5,1.562500000E-03,1.931708997E-03,-6.461468176E+00,-6.249350177E+00,-1.234691202E-01
6,7.812500000E-04,4.455287645E-04,-7.154615357E+00,-7.716248746E+00,-2.116287291E+00
7,3.906250000E-04,5.723298960E-04,-7.847762537E+00,-7.465794992E+00,3.613283899E-01
8,1.953125000E-04,2.419086318E-04,-8.540909718E+00,-8.326950457E+00,-1.242384720E+00
9,9.765625000E-05,9.172214339E-05,-9.234056899E+00,-9.296746731E+00,-1.399120275E+00
